date,day,time_uk,week,platform,format,idea_id,pillar,title,hook,status
2026-08-24,Monday,08:30,1,x,tweet,X-001,sarcasm,Loyalty is a hostage situation,Been with them 8 years.,Draft
2026-08-27,Thursday,12:30,1,x,tweet,X-004,pun,Up to,“Up to 67 Mbps”,Draft
2026-08-29,Saturday,10:00,1,x,tweet,X-006,quote,Socrates pays the bill,The unexamined broadband bill is not worth paying.,Draft
2026-08-30,Sunday,10:00,1,x,tweet,X-007,british-life,Router in the cupboard,Your router is in the cupboard under the stairs.,Draft
2026-08-31,Monday,08:30,2,x,tweet,X-008,sarcasm,Engineer window,We'll be there between 8 and 6.,Draft
2026-09-03,Thursday,12:30,2,x,tweet,X-011,pun,Fibre I barely know her,They said I was getting fibre.,Draft
2026-09-05,Saturday,10:00,2,x,tweet,X-013,useful-funny,Social tariff scandal,There's cheaper broadband if you're on certain benefits. Most eligible people have never heard of it.,Draft
2026-09-06,Sunday,10:00,2,x,tweet,X-014,quote,Ask not what your ISP can do,Ask not what your ISP can do for you.,Draft
2026-09-07,Monday,08:30,3,x,tweet,X-015,pun,Bandwidth like a British summer,My bandwidth is like a British summer.,Draft
2026-09-10,Thursday,12:30,3,x,tweet,X-018,useful-funny,Speed you actually need,You do not need a gigabit to email your solicitor.,Draft
2026-09-13,Sunday,10:00,3,x,tweet,X-021,pun,Packet loss packed lunch,It's not you. It's packet loss.,Draft
2026-09-14,Monday,08:30,4,x,tweet,X-022,british-life,Greggs vs gigabit,I'd give up a sausage roll for 900 Mbps.,Draft
2026-09-17,Thursday,12:30,4,x,tweet,X-026,meme,2am vs 7pm speed test,Speed test at 2am vs speed test at 7pm.,Draft
2026-09-20,Sunday,10:00,4,x,tweet,X-029,sarcasm,Chatbot of Theseus,I asked the ISP chatbot if I could leave. It asked if I'd tried restarting myself.,Draft
